id,name,href
bromelain,BROMELAIN,https://www.webmd.com/vitamins/ai/ingredientmono-895/bromelain
brooklime,BROOKLIME,https://www.webmd.com/vitamins/ai/ingredientmono-11/brooklime
broom-corn,BROOM CORN,https://www.webmd.com/vitamins/ai/ingredientmono-597/broom-corn
brown-algae,BROWN ALGAE,https://www.webmd.com/vitamins/ai/ingredientmono-1248/brown-algae
brown-rice,BROWN RICE,https://www.webmd.com/vitamins/ai/ingredientmono-1148/brown-rice
brussels-sprout,BRUSSELS SPROUT,https://www.webmd.com/vitamins/ai/ingredientmono-1477/brussels-sprout
bryonia,BRYONIA,https://www.webmd.com/vitamins/ai/ingredientmono-46/bryonia
buchu,BUCHU,https://www.webmd.com/vitamins/ai/ingredientmono-180/buchu
buckhorn-plantain,BUCKHORN PLANTAIN,https://www.webmd.com/vitamins/ai/ingredientmono-736/buckhorn-plantain
bucks-horn-plantain,BUCK'S-HORN PLANTAIN,https://www.webmd.com/vitamins/ai/ingredientmono-1457/bucks-horn-plantain
buckwheat,BUCKWHEAT,https://www.webmd.com/vitamins/ai/ingredientmono-15/buckwheat
bugle,BUGLE,https://www.webmd.com/vitamins/ai/ingredientmono-179/bugle
bugleweed,BUGLEWEED,https://www.webmd.com/vitamins/ai/ingredientmono-147/bugleweed
bulbous-buttercup,BULBOUS BUTTERCUP,https://www.webmd.com/vitamins/ai/ingredientmono-586/bulbous-buttercup
bupleurum,BUPLEURUM,https://www.webmd.com/vitamins/ai/ingredientmono-650/bupleurum
burdock,BURDOCK,https://www.webmd.com/vitamins/ai/ingredientmono-111/burdock
burning-bush,BURNING BUSH,https://www.webmd.com/vitamins/ai/ingredientmono-599/burning-bush
burr-marigold,BURR MARIGOLD,https://www.webmd.com/vitamins/ai/ingredientmono-20/burr-marigold
butanediol-bd,BUTANEDIOL (BD),https://www.webmd.com/vitamins/ai/ingredientmono-21/butanediol-bd
butchers-broom,BUTCHER'S BROOM,https://www.webmd.com/vitamins/ai/ingredientmono-320/butchers-broom
butea-superba,BUTEA SUPERBA,https://www.webmd.com/vitamins/ai/ingredientmono-1227/butea-superba
butterbur,BUTTERBUR,https://www.webmd.com/vitamins/ai/ingredientmono-649/butterbur
buttercup,BUTTERCUP,https://www.webmd.com/vitamins/ai/ingredientmono-656/buttercup
butternut,BUTTERNUT,https://www.webmd.com/vitamins/ai/ingredientmono-739/butternut
butylated-hydroxytoluene,BUTYLATED HYDROXYTOLUENE,https://www.webmd.com/vitamins/ai/ingredientmono-1071/butylated-hydroxytoluene
cabbage,CABBAGE,https://www.webmd.com/vitamins/ai/ingredientmono-171/cabbage
cade,CADE,https://www.webmd.com/vitamins/ai/ingredientmono-77/cade
caffeic-acid,CAFFEIC ACID,https://www.webmd.com/vitamins/ai/ingredientmono-1266/caffeic-acid
caffeine,CAFFEINE,https://www.webmd.com/vitamins/ai/ingredientmono-979/caffeine
cajeput-oil,CAJEPUT OIL,https://www.webmd.com/vitamins/ai/ingredientmono-457/cajeput-oil
calabar-bean,CALABAR BEAN,https://www.webmd.com/vitamins/ai/ingredientmono-50/calabar-bean
calamint,CALAMINT,https://www.webmd.com/vitamins/ai/ingredientmono-613/calamint
calamus,CALAMUS,https://www.webmd.com/vitamins/ai/ingredientmono-778/calamus
calanus-oil,CALANUS OIL,https://www.webmd.com/vitamins/ai/ingredientmono-1544/calanus-oil
calcium,CALCIUM,https://www.webmd.com/vitamins/ai/ingredientmono-781/calcium
calcium-d-glucarate,CALCIUM D-GLUCARATE,https://www.webmd.com/vitamins/ai/ingredientmono-136/calcium-d-glucarate
calea-zacatechichi,CALEA ZACATECHICHI,https://www.webmd.com/vitamins/ai/ingredientmono-1270/calea-zacatechichi
calendula,CALENDULA,https://www.webmd.com/vitamins/ai/ingredientmono-235/calendula
california-poppy,CALIFORNIA POPPY,https://www.webmd.com/vitamins/ai/ingredientmono-104/california-poppy
calotropis,CALOTROPIS,https://www.webmd.com/vitamins/ai/ingredientmono-797/calotropis
camphor,CAMPHOR,https://www.webmd.com/vitamins/ai/ingredientmono-709/camphor
camu-camu,CAMU CAMU,https://www.webmd.com/vitamins/ai/ingredientmono-1243/camu-camu
canada-balsam,CANADA BALSAM,https://www.webmd.com/vitamins/ai/ingredientmono-456/canada-balsam
canadian-fleabane,CANADIAN FLEABANE,https://www.webmd.com/vitamins/ai/ingredientmono-242/canadian-fleabane
canadian-hemp,CANADIAN HEMP,https://www.webmd.com/vitamins/ai/ingredientmono-201/canadian-hemp
canaigre,CANAIGRE,https://www.webmd.com/vitamins/ai/ingredientmono-222/canaigre
cananga-oil,CANANGA OIL,https://www.webmd.com/vitamins/ai/ingredientmono-83/cananga-oil
canella,CANELLA,https://www.webmd.com/vitamins/ai/ingredientmono-166/canella
cannabidiol,CANNABIDIOL,https://www.webmd.com/vitamins/ai/ingredientmono-1439/cannabidiol
canthaxanthin,CANTHAXANTHIN,https://www.webmd.com/vitamins/ai/ingredientmono-846/canthaxanthin
capers,CAPERS,https://www.webmd.com/vitamins/ai/ingredientmono-727/capers
caprylic-acid,CAPRYLIC ACID,https://www.webmd.com/vitamins/ai/ingredientmono-1465/caprylic-acid
capsicum,CAPSICUM,https://www.webmd.com/vitamins/ai/ingredientmono-945/capsicum
caralluma,CARALLUMA,https://www.webmd.com/vitamins/ai/ingredientmono-1160/caralluma
caraway,CARAWAY,https://www.webmd.com/vitamins/ai/ingredientmono-204/caraway
cardamom,CARDAMOM,https://www.webmd.com/vitamins/ai/ingredientmono-614/cardamom
carlina,CARLINA,https://www.webmd.com/vitamins/ai/ingredientmono-100/carlina
carnosine,CARNOSINE,https://www.webmd.com/vitamins/ai/ingredientmono-1038/carnosine
carob,CAROB,https://www.webmd.com/vitamins/ai/ingredientmono-321/carob
carqueja,CARQUEJA,https://www.webmd.com/vitamins/ai/ingredientmono-1127/carqueja
carrageenan,CARRAGEENAN,https://www.webmd.com/vitamins/ai/ingredientmono-710/carrageenan
carrot,CARROT,https://www.webmd.com/vitamins/ai/ingredientmono-1472/carrot
cascara-sagrada,CASCARA SAGRADA,https://www.webmd.com/vitamins/ai/ingredientmono-773/cascara-sagrada
cascarilla,CASCARILLA,https://www.webmd.com/vitamins/ai/ingredientmono-181/cascarilla
casein-peptides,CASEIN PEPTIDES,https://www.webmd.com/vitamins/ai/ingredientmono-1107/casein-peptides
cashew,CASHEW,https://www.webmd.com/vitamins/ai/ingredientmono-10/cashew
cassava,CASSAVA,https://www.webmd.com/vitamins/ai/ingredientmono-1473/cassava
cassia-auriculata,CASSIA AURICULATA,https://www.webmd.com/vitamins/ai/ingredientmono-1094/cassia-auriculata
cassia-cinnamon,CASSIA CINNAMON,https://www.webmd.com/vitamins/ai/ingredientmono-1002/cassia-cinnamon
cassia-nomame,CASSIA NOMAME,https://www.webmd.com/vitamins/ai/ingredientmono-1504/cassia-nomame
cassie-absolute,CASSIE ABSOLUTE,https://www.webmd.com/vitamins/ai/ingredientmono-612/cassie-absolute
castor-bean,CASTOR BEAN,https://www.webmd.com/vitamins/ai/ingredientmono-897/castor-bean
castoreum,CASTOREUM,https://www.webmd.com/vitamins/ai/ingredientmono-315/castoreum
catechu,CATECHU,https://www.webmd.com/vitamins/ai/ingredientmono-394/catechu
catnip,CATNIP,https://www.webmd.com/vitamins/ai/ingredientmono-831/catnip
cats-claw,CAT'S CLAW,https://www.webmd.com/vitamins/ai/ingredientmono-395/cats-claw
cats-foot,CAT'S FOOT,https://www.webmd.com/vitamins/ai/ingredientmono-53/cats-foot
catuaba,CATUABA,https://www.webmd.com/vitamins/ai/ingredientmono-396/catuaba
cauliflower,CAULIFLOWER,https://www.webmd.com/vitamins/ai/ingredientmono-1478/cauliflower
celery,CELERY,https://www.webmd.com/vitamins/ai/ingredientmono-882/celery
centaury,CENTAURY,https://www.webmd.com/vitamins/ai/ingredientmono-399/centaury
cereus,CEREUS,https://www.webmd.com/vitamins/ai/ingredientmono-711/cereus
cesium,CESIUM,https://www.webmd.com/vitamins/ai/ingredientmono-1064/cesium
cetylated-fatty-acids,CETYLATED FATTY ACIDS,https://www.webmd.com/vitamins/ai/ingredientmono-400/cetylated-fatty-acids
ceylon-cinnamon,CEYLON CINNAMON,https://www.webmd.com/vitamins/ai/ingredientmono-330/ceylon-cinnamon
